epoch,loss,val_loss,val_acc
1,0.6936,0.6933,0.5600,saved
2,0.6775,0.6627,0.7467,saved
3,0.6569,0.6481,0.8133,saved
4,0.6407,0.6168,0.8867,saved
5,0.6311,0.6211,0.9067,saved
6,0.6124,0.6076,0.8400,saved
7,0.6060,0.5753,0.8867,saved
8,0.5615,0.5557,0.9267,saved
9,0.5572,0.5350,0.9467,saved
10,0.5514,0.5224,0.9267,saved
11,0.5414,0.5304,0.9467,saved
12,0.5307,0.5005,0.9467,saved
13,0.5160,0.4874,0.9267,saved
14,0.4919,0.5097,0.9067,saved
14,0.4948,0.4898,0.9000,saved
15,0.4996,0.4753,0.8867,saved
16,0.4621,0.4798,0.9400,saved
17,0.4611,0.4302,0.9600,saved
18,0.4748,0.4158,0.9667,saved
19,0.4353,0.4407,0.9600,saved
20,0.4417,0.4053,0.9067,saved
15,0.4985,0.4862,0.8667,saved
16,0.4579,0.4770,0.8933,saved
17,0.4757,0.4510,0.8867,saved
18,0.4341,0.4548,0.9400,saved
19,0.4325,0.4046,0.9667,saved
20,0.4494,0.3842,0.9733,saved
21,0.4082,0.4199,0.9667,saved
22,0.4177,0.3803,0.9133,saved
23,0.3476,0.3763,0.9533,saved
24,0.3475,0.3466,0.9667,saved
25,0.3400,0.3311,0.9733,saved
26,0.3507,0.3775,0.9800,saved
27,0.3535,0.3116,0.9867,saved
28,0.2950,0.2888,0.9800,saved
29,0.3289,0.3063,0.9267,saved
30,0.2765,0.3242,0.9733,saved
31,0.2817,0.2702,0.9800,saved
32,0.3088,0.2493,0.9800,saved
33,0.2587,0.2883,0.9867,saved
34,0.2796,0.2525,0.9533,saved
35,0.2090,0.2416,0.9800,saved
36,0.2090,0.2145,0.9800,saved
37,0.2081,0.2116,0.9667,saved
38,0.2316,0.2596,0.9867,saved
39,0.2465,0.1922,0.9933,saved
40,0.2276,0.1946,0.9933,saved
41,0.1896,0.2364,0.9800,saved
42,0.2447,0.2338,0.9667,saved
43,0.2450,0.2359,0.9600,saved
44,0.1962,0.1891,0.9667,saved
45,0.2416,0.1913,0.9933,saved
46,0.1712,0.2196,0.9800,saved
47,0.2306,0.2122,0.9667,saved
48,0.1575,0.1941,0.9800,saved
49,0.1305,0.1689,0.9933,saved
50,0.1903,0.1720,0.9733,saved
51,0.1299,0.1903,0.9800,saved
52,0.1379,0.1388,0.9867,saved
53,0.1743,0.1328,0.9867,saved
54,0.1318,0.1342,0.9867,saved
55,0.1596,0.1273,0.9733,saved
56,0.1039,0.1335,0.9800,saved
57,0.0991,0.1239,0.9933,saved
58,0.1074,0.1270,0.9867,saved
59,0.1329,0.1149,0.9867,saved
60,0.1467,0.1093,0.9800,saved
61,0.1445,0.1072,0.9933,saved
62,0.0824,0.1426,0.9933,saved
63,0.1380,0.1522,0.9733,saved
64,0.0853,0.1492,0.9800,saved
65,0.0926,0.1041,0.9933,saved
66,0.1178,0.0989,0.9867,saved
67,0.0719,0.1360,0.9933,saved
68,0.1095,0.1383,0.9733,saved
69,0.0716,0.1304,0.9800,saved
70,0.0803,0.0931,0.9933,saved
71,0.1066,0.0892,0.9867,saved
72,0.0749,0.1238,0.9933,saved
73,0.1048,0.1004,0.9867,saved
74,0.0635,0.0969,0.9867,saved
75,0.0577,0.0867,0.9933,saved
76,0.0678,0.0889,0.9867,saved
77,0.0871,0.0816,0.9933,saved
78,0.0987,0.0745,0.9933,saved
79,0.1110,0.0738,0.9933,saved
80,0.0704,0.1224,0.9867,saved
81,0.1346,0.1299,0.9867,saved
82,0.1314,0.1373,0.9867,saved
83,0.0794,0.1239,0.9800,saved
84,0.1182,0.1089,0.9933,saved
85,0.0656,0.1056,0.9933,saved
86,0.1253,0.1241,0.9867,saved
87,0.0632,0.1073,0.9933,saved
88,0.0628,0.1054,0.9933,saved
89,0.0876,0.0976,0.9867,saved
90,0.1597,0.1155,0.9800,saved
91,0.0574,0.0885,0.9867,saved
92,0.0643,0.0646,0.9933,saved
93,0.0580,0.0852,0.9933,saved
94,0.1572,0.1090,0.9867,saved
95,0.1835,0.0821,0.9933,saved
96,0.1503,0.0948,0.9800,saved
97,0.1474,0.0827,0.9933,saved
98,0.0571,0.0737,0.9933,saved
99,0.1320,0.1073,0.9933,saved
100,0.0629,0.0895,0.9933,saved
